id	score	length
3-2stat410-1	-0.6033536024867767	2316
3-2stat410-2	-0.6723017956497924	813
3-2stat411	-0.6185538355859733	5445
3-2stat411-1	-0.6003652273876185	12858
3-2stat414	-0.6221123525128357	1266
3-2stat414-1	-0.6091132558193096	8141
3-2stat415	-0.654466399028252	1501
3-2stat416	-0.6127134380918561	1782
3-2stat416-1	-0.7276131974617198	7739
3-2stat418	-0.6213137954689768	2067
3-2stat418-1	-0.6136539892399268	2730
3-2stat418-2	-0.6361782314541103	1332
3-2stat419	-0.6125816241847435	3469
3-2stat419-1	-0.6373405011247568	1028
3-2stat419-2	-0.7161827813842603	4306
3-2stat420	-0.5946827053963363	17769
3-2stat423	-0.6025243909837104	1481
3-2stat423-1	-0.6834120161077949	979
3-2stat424	-0.59768205949255	10235
3-2stat425	-0.6194678440847593	1797
3-2stat426	-0.6191418443482936	1802
3-2stat426-1	-0.6152823572375299	837
3-2stat426-2	-0.5894751699983035	22105
3-2stat430	-0.633020690124943	17548
3-2stat433	-0.5896720529883744	34149
3-2stat438	-0.6237813425491188	6922
3-2stat439	-0.5887077603196997	8594
3-2stat441	-0.6075310372017525	5920
3-2stat442	-0.5850899405789144	6374
3-2stat443	-0.6132188884983797	2623
3-2stat443-1	-0.6331518356659183	863
3-2stat443-2	-0.6102680315785735	3519
3-2stat444	-0.6492434414950284	924
3stat341	-0.6497405169761344	730
3stat341-1	-0.5785308142674784	2546
3stat342	-0.5901310933256504	1749
3stat342-1	-0.6363802742854558	13820
3stat345	-0.5981947469787112	2516
3stat345-1	-0.592288525390625	1250
3stat345-2	-0.6239325961520729	3389
3stat346	-0.6287605857936897	4346
3stat347	-0.5917267135426968	5056
3stat350	-0.63244509319659	7962
3stat351	-0.6419538459521812	894
3stat352	-0.5983421010112531	4110
3stat352-1	-0.6022224261778469	2551
3stat353	-0.587684545919466	1161
3stat353-1	-0.6052333618048136	2106
3stat353-2	-0.6051974497659658	4126
3stat354	-0.6431845612371047	58645
3stat366	-0.632097579924463	3864
3stat367	-0.5867363518989934	1335
3stat367-1	-0.616171716714326	4874
3stat368	-0.5824100326169097	3515
3stat368-1	-0.5820197830108605	3332
3stat369	-0.5941506737538617	789
3stat369-1	-0.6081044392413404	4980
3stat370	-0.6425393885597751	906
3stat370-1	-0.6281800772513357	503
3stat370-2	-0.5940741615543655	2305
