term,jsd,count_legal,count_popular,neighbours,scaled_jsd
regular,0.44468624750024566,1012,2988,2159,0.412227883279296
emit,0.6129171848166521,201,183,2009,0.4091587854654057
for,0.4962254240812214,1362,2638,22,0.4090909090909091
keep,0.42119418401695674,904,3096,734,0.4087193460490463
constitution,0.4221465848611668,1556,2444,465,0.40860215053763443
georgia,0.4371962177758231,2454,1546,1663,0.40829825616355986
list,0.4458427766049762,1278,2722,2553,0.4073638856247552
affect,0.46204873308480243,698,2714,3304,0.40587167070217917
connecticut,0.4345017291590949,2192,1808,1582,0.40581542351453853
part,0.4299047543821559,1252,2748,138,0.4057971014492754
massachusetts,0.4260755490846877,2231,1769,1276,0.4051724137931034
security,0.4247922635880436,1668,2332,1103,0.4043517679057117
expel,0.5753883952599689,114,453,2805,0.4032085561497326
imports,0.4992958350301589,906,823,4160,0.40192307692307694
army,0.4186273904427415,1620,2380,601,0.40099833610648916
debate,0.44459483741475575,2314,1686,2651,0.4009807619766126
discharged,0.4408688764732014,1973,2027,2077,0.4000962927298989
naval,0.4426859575037765,2617,1383,2573,0.39759036144578314
second,0.42076983639238397,1179,2821,489,0.3967280163599182
thereof,0.4236397445818006,2793,1207,358,0.39385474860335196
required,0.4176517107010662,2427,1573,748,0.3917112299465241
choose,0.4308019620341739,1021,2979,1749,0.389937106918239
made,0.41824505645646687,1321,2679,90,0.3888888888888889
where,0.42340629298882626,944,3056,126,0.3888888888888889
commission,0.4302251229986917,1352,2648,1730,0.3872832369942196
tax,0.42101488968641393,2794,1206,1049,0.38608198284080075
nays,0.44147237646301973,3467,533,2855,0.38458844133099823
held,0.41755454097768885,1607,2393,789,0.3840304182509506
nor,0.4218816937035729,667,3333,238,0.38235294117647056
controversy,0.4544582763663706,858,2417,3366,0.3805704099821747
value,0.4185755144874389,1831,2169,874,0.37986270022883295
year,0.41957560320811516,1733,2267,301,0.3787375415282392
presented,0.4267058470785855,1420,2580,1620,0.37839506172839504
indians,0.4144159897808195,968,3032,788,0.37817258883248733
nevertheless,0.43717546656697837,1305,2695,2582,0.3772269558481797
collect,0.4588152274429675,978,1930,3564,0.37542087542087543
proved,0.4251604644259478,948,3052,1500,0.37533333333333335
demand,0.426123460035166,1737,2263,1617,0.3747680890538033
houses,0.4175894377222923,1119,2881,895,0.3743016759776536
weights,0.5159843058946916,596,559,4066,0.37407771765863257
what,0.4315198296268992,549,3451,83,0.37349397590361444
their,0.4874700262419497,790,3210,43,0.37209302325581395
limited,0.433248973247036,2026,1974,2284,0.37084063047285465
committed,0.414821056884911,1953,2047,903,0.3687707641196013
pay,0.41503000880542384,2340,1660,297,0.367003367003367
removed,0.42418716476285795,1149,2851,1543,0.3668178872326636
arrest,0.48019412734530614,944,992,4098,0.3665202537823328
alter,0.4355424205031133,2043,1957,2859,0.36621196222455404
temporary,0.44666262342710383,1212,2267,3267,0.36608509335782063
right,0.41569726027147985,1133,2867,293,0.3651877133105802
marque,0.5240167556039806,353,578,3827,0.3634700810033969
days,0.41325911571468993,889,3111,375,0.3626666666666667
receive,0.41297856037379443,1498,2502,520,0.36153846153846153
inspection,0.4694364854236364,834,1392,3955,0.361314791403287
likewise,0.41424844609781264,390,3610,1079,0.35959221501390176
adhering,0.5485197751313686,169,431,2947,0.3576518493383101
