term,jsd,count_legal,count_popular,neighbours,scaled_jsd
fix,0.7808187699292017,2712,1288,1408,0.9765625
fiery,0.9106353760800517,7,1034,3967,0.976556591883035
nervous,0.8989655825106166,12,1335,4177,0.9765381853004549
rear,0.8560923601369005,991,2090,3459,0.9762937265105521
mittee,0.9672007325091475,288,5,1548,0.9760981912144703
temple,0.8098676403028033,157,3843,2475,0.9757575757575757
lift,0.8490531215545394,2113,1652,3135,0.9757575757575757
swain,0.9114211389654879,12,894,3771,0.9756032882524529
etc,0.8805427594799315,1822,20,4115,0.9754556500607533
beauties,0.8753997528325985,6,2173,3984,0.9754016064257028
fan,0.9233524173809727,195,476,3197,0.975289333750391
faint,0.8792570819587169,35,1887,4100,0.9751219512195122
shining,0.8810918466369053,6,1758,4149,0.9749337189684262
div,0.889716015360193,1412,27,4198,0.9747498808956646
masonry,0.9229265137777822,18,625,3116,0.9746469833119383
washing,0.9112296881414939,21,869,3745,0.9746328437917223
materia,0.9642536791253524,8,274,1489,0.974479516453996
tale,0.8694720269433396,232,2283,3766,0.9742432288900691
graces,0.8780746375768196,4,1845,4109,0.9742029690922366
everlasting,0.8056477259824091,4,3996,2248,0.9741992882562278
pitty,0.996510382213468,6,27,155,0.9741935483870968
angel,0.8526354177496477,10,3258,3369,0.9741763134461264
delights,0.8940981324609883,3,1372,4181,0.9741688591246114
piff,0.9807031918356537,3,143,771,0.9740596627756161
flesh,0.7870343931180462,37,3963,1990,0.9738693467336683
gale,0.8625654417479582,202,2511,3662,0.973784817039869
luc,0.9514971352992471,21,373,2057,0.9737481769567331
hares,0.9544886346528062,270,99,1930,0.9735751295336788
perfections,0.8806520132112224,3,1721,4157,0.9735386095742121
tartar,0.9052431126072903,32,907,3839,0.9734305808804377
grey,0.8494138837150841,52,3330,3308,0.973397823458283
ear,0.8041367599429986,438,3562,2349,0.9731800766283525
slumber,0.9366662567779426,3,479,2458,0.9731489015459723
yore,0.9876316131360507,5,101,554,0.9729241877256317
lovely,0.8371195773409689,20,3980,3027,0.9729104724149322
visions,0.9196642879278618,61,652,3317,0.9728670485378353
flew,0.8795509527020943,60,1656,4160,0.9728365384615385
gouverneur,0.9105056355595793,595,280,3718,0.9728348574502421
jour,0.8903672590807444,1333,59,4184,0.972753346080306
moisture,0.9111118883569471,3,861,3696,0.9726731601731602
ditto,0.7635884545076903,221,3779,987,0.9726443768996961
fever,0.7780209216289853,62,3938,1601,0.9725171767645222
lion,0.8727159314406032,575,1471,4033,0.9724770642201835
veiled,0.9281095203466581,381,179,2780,0.9723021582733813
wave,0.888817503948926,32,1364,4184,0.9722753346080306
stool,0.935740940521526,5,500,2560,0.972265625
lifts,0.8991746674784449,652,457,4036,0.9722497522299306
signor,0.9183870337009267,3,721,3342,0.9718731298623579
charm,0.8735362213116461,9,1928,4095,0.9716727716727717
indorsement,0.8655377785635737,2342,51,3859,0.9714952060119202
swelling,0.8944411871734181,6,1200,4123,0.971380063060878
mat,0.8822827203092047,201,1210,4189,0.9713535449988064
hip,0.9097258604453924,650,196,3658,0.9710224166211044
bed,0.772294745015022,86,3914,1581,0.9709044908285895
sot,0.9324020897356552,414,102,2608,0.9708588957055214
urg,0.9603831226026679,22,270,1544,0.9708549222797928
tle,0.8570408137173953,2571,51,3705,0.9708502024291498
ill,0.7599685364732277,1027,2973,1131,0.9708222811671088
front,0.7752025869984079,268,3732,1676,0.970763723150358
history,0.7510534837465216,1232,2768,922,0.9707158351409978
grave,0.7975453618069636,36,3964,2479,0.9705526421944333
rous,0.8688361958248418,18,2113,3996,0.9704704704704705
tow,0.8630581552168142,383,1933,3914,0.9703628002043945
bleeding,0.8608029695194113,13,2447,3802,0.9702788006312467
grafted,0.9136267152421973,7,705,3316,0.9701447527141134
